condition,scene_id,method,pixels,proxy_positive_pixels,exact_zero_proxy_pixels,proxy_positive_called_pass,proxy_positive_flagged,proxy_positive_unknown,exact_zero_proxy_called_pass,exact_zero_proxy_flagged,unknown_pixels,pass_pixels,flag_pixels,scope_positive_pass_fraction,zero_proxy_pass_fraction,unknown_fraction,bounded_inference_seconds,evidence_type,assumed_physical_contamination_in_stress
dirty_reference,1,uniform_DC,1024,1024,0,1019,5,0,0,0,0,1019,5,0.9951171875,,0.0,,SYNTHETIC,True
dirty_reference,1,single_frequency_modulation,1024,1024,0,1024,0,0,0,0,0,1024,0,1.0,,0.0,,SYNTHETIC,True
dirty_reference,1,multi_frequency_point_estimate,1024,1024,0,1024,0,0,0,0,0,1024,0,1.0,,0.0,,SYNTHETIC,True
dirty_reference,1,bounded_interval,1024,1024,0,1024,0,0,0,0,0,1024,0,1.0,,0.0,0.0009333479999895644,SYNTHETIC,True
dirty_reference,2,uniform_DC,1024,1024,0,1020,4,0,0,0,0,1020,4,0.99609375,,0.0,,SYNTHETIC,True
dirty_reference,2,single_frequency_modulation,1024,1024,0,1024,0,0,0,0,0,1024,0,1.0,,0.0,,SYNTHETIC,True
dirty_reference,2,multi_frequency_point_estimate,1024,1024,0,1024,0,0,0,0,0,1024,0,1.0,,0.0,,SYNTHETIC,True
dirty_reference,2,bounded_interval,1024,1024,0,1024,0,0,0,0,0,1024,0,1.0,,0.0,0.0008989250000013271,SYNTHETIC,True
dirty_reference,3,uniform_DC,1024,1024,0,1009,15,0,0,0,0,1009,15,0.9853515625,,0.0,,SYNTHETIC,True
dirty_reference,3,single_frequency_modulation,1024,1024,0,1024,0,0,0,0,0,1024,0,1.0,,0.0,,SYNTHETIC,True
dirty_reference,3,multi_frequency_point_estimate,1024,1024,0,1024,0,0,0,0,0,1024,0,1.0,,0.0,,SYNTHETIC,True
dirty_reference,3,bounded_interval,1024,1024,0,1024,0,0,0,0,0,1024,0,1.0,,0.0,0.0008985350000330072,SYNTHETIC,True
uniform_absorber,0,uniform_DC,1024,0,1024,0,0,0,1017,7,0,1017,7,,0.9931640625,0.0,,SYNTHETIC,True
uniform_absorber,0,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,True
uniform_absorber,0,multi_frequency_point_estimate,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,,SYNTHETIC,True
uniform_absorber,0,bounded_interval,1024,0,1024,0,0,0,1024,0,0,1024,0,,1.0,0.0,0.0009568929999659304,SYNTHETIC,True
uniform_absorber,1,uniform_DC,1024,0,1024,0,0,0,1017,7,0,1017,7,,0.9931640625,0.0,,SYNTHETIC,True
uniform_absorber,1,single_frequency_modulation,1024,0,1024,0,0,0,0,1024,0,0,1024,,0.0,0.0,,SYNTHETIC,True
